"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 30 18:21:54 CST 2019","Mon Dec 30 18:21:59 CST 2019","5080","","AddNewsFailedTest","","AddNewsFailedTest","addNewsFailedOne","addNewsFailedOne()","输入内容为空，弹出信息：输入格式不正确"
"passed","Mon Dec 30 18:34:45 CST 2019","Mon Dec 30 18:34:50 CST 2019","4568","","WrongUpgradeUserTest","","WrongUpgradeUserTest","wrongUpgradeUser","wrongUpgradeUser()","测试数据为第一行，第一行必须是管理员。弹出信息：该用户已经是管理员！"
"passed","Mon Dec 30 18:30:29 CST 2019","Mon Dec 30 18:30:33 CST 2019","3917","","SearchVenueFailedTest","","SearchVenueFailedTest","searchVenueFailedTwo","searchVenueFailedTwo()","输入的ID数据库不存在，弹出信息:搜索失败"
"passed","Mon Dec 30 18:22:54 CST 2019","Mon Dec 30 18:22:59 CST 2019","5500","","AddVenueFailedTest","","AddVenueFailedTest","addVenueFailedThree","addVenueFailedThree()","场馆房间数量输入非数字，弹出信息：输入格式不正确！"
"passed","Mon Dec 30 18:33:43 CST 2019","Mon Dec 30 18:33:50 CST 2019","6278","","WrongModifyPasswordOneTest","","WrongModifyPasswordOneTest","wrongModifyPasswordOne","wrongModifyPasswordOne()","弹出信息：两次密码不一致"
"passed","Mon Dec 30 18:24:08 CST 2019","Mon Dec 30 18:24:11 CST 2019","3221","","ChangeTablePageTest","","ChangeTablePageTest","jumpTablePage","jumpTablePage()",""
"passed","Mon Dec 30 18:24:29 CST 2019","Mon Dec 30 18:24:34 CST 2019","5380","","CheckOrderStatisticTest","","CheckOrderStatisticTest","checkOrderStatistic","checkOrderStatistic()","输入不同日期查看各场馆订单数据"
"passed","Mon Dec 30 18:22:45 CST 2019","Mon Dec 30 18:22:49 CST 2019","4017","","AddVenueFailedTest","","AddVenueFailedTest","addVenueFailedOne","addVenueFailedOne()","输入内容为空，弹出信息：输入格式不正确！"
"passed","Mon Dec 30 18:34:26 CST 2019","Mon Dec 30 18:34:32 CST 2019","5946","","WrongModifyPasswordTwoTest","","WrongModifyPasswordTwoTest","wrongModifyPasswordTwo","wrongModifyPasswordTwo()","输入的旧密码不是正确密码，弹出信息：修改密码失败，用户名与密码不匹配"
"passed","Mon Dec 30 18:34:03 CST 2019","Mon Dec 30 18:34:09 CST 2019","5946","","WrongModifyPasswordThreeTest","","WrongModifyPasswordThreeTest","wrongModifyPasswordThree","wrongModifyPasswordThree()","输入新密码长度过长，弹出信息：修改密码失败，密码不能超过16个字符"
"passed","Mon Dec 30 18:28:05 CST 2019","Mon Dec 30 18:28:11 CST 2019","6078","","ModifyVenueSuccessTest","","ModifyVenueSuccessTest","modifyVenueSuccess","modifyVenueSuccess()",""
"passed","Mon Dec 30 18:22:17 CST 2019","Mon Dec 30 18:22:22 CST 2019","5501","","AddNewsSuccessTest","","AddNewsSuccessTest","addNewsSuccess","addNewsSuccess()","添加新闻成功"
"passed","Mon Dec 30 18:23:48 CST 2019","Mon Dec 30 18:23:53 CST 2019","5679","","ApproveOrderSuccessTest","","ApproveOrderSuccessTest","approveOrderSuccess","approveOrderSuccess()",""
"passed","Mon Dec 30 18:25:05 CST 2019","Mon Dec 30 18:25:11 CST 2019","5509","","CorrectLogOutTest","","CorrectLogOutTest","correctLogOut","correctLogOut()","页面自动跳转到登录页面，且无法进入管理员端其他页面"
"passed","Mon Dec 30 18:22:49 CST 2019","Mon Dec 30 18:22:54 CST 2019","5111","","AddVenueFailedTest","","AddVenueFailedTest","addVenueFailedTwo","addVenueFailedTwo()","场馆价格输入非数字，弹出信息：输入格式不正确！"
"passed","Mon Dec 30 18:32:23 CST 2019","Mon Dec 30 18:32:27 CST 2019","3545","","WrongDeleteNewsTest","","WrongDeleteNewsTest","wrongDeleteNews","wrongDeleteNews()","未选中新闻点击删除按钮，弹出信息：选中数量为0条"
"passed","Mon Dec 30 18:27:38 CST 2019","Mon Dec 30 18:27:43 CST 2019","4901","","ModifyVenueFailedTest","","ModifyVenueFailedTest","modifyVenueFailedThree","modifyVenueFailedThree()","场馆价格输入小数，弹出信息：输入格式不正确！"
"passed","Mon Dec 30 18:32:59 CST 2019","Mon Dec 30 18:33:03 CST 2019","3770","","WrongLogInOneTest","","WrongLogInOneTest","wrongLogInOne","wrongLogInOne()","弹出信息：用户名与密码不匹配"
"passed","Mon Dec 30 18:24:46 CST 2019","Mon Dec 30 18:24:51 CST 2019","5625","","CorrectLogInTest","","CorrectLogInTest","correctLogIn","correctLogIn()",""
"passed","Mon Dec 30 18:30:25 CST 2019","Mon Dec 30 18:30:29 CST 2019","3852","","SearchVenueFailedTest","","SearchVenueFailedTest","searchVenueFailedOne","searchVenueFailedOne()","未输入搜索信息，弹出信息：请输入搜索内容！"
"passed","Mon Dec 30 18:31:44 CST 2019","Mon Dec 30 18:31:48 CST 2019","3930","","WrongApproveMessageTest","","WrongApproveMessageTest","wrongApproveMessage","wrongApproveMessage()","未选中留言点击审核通过按键，弹出信息：选中数量为0条"
"passed","Mon Dec 30 18:23:10 CST 2019","Mon Dec 30 18:23:15 CST 2019","5485","","AddVenueSuccessTest","","AddVenueSuccessTest","addVenueSuccess","addVenueSuccess()","添加场馆成功"
"passed","Mon Dec 30 18:32:41 CST 2019","Mon Dec 30 18:32:45 CST 2019","3284","","WrongDeleteUserTest","","WrongDeleteUserTest","wrongDeleteUser","wrongDeleteUser()","未选中用户点击删除按钮，弹出信息：选中数量为0条"
